"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"
"Q54DB1"	"DDB_G0292400"	"vps2B"	"SNF7 family protein"
"Q54DB2"	"DDB_G0292398"	"psmE4"	"proteasome activator complex subunit 4"
"Q54DB3"	"DDB_G0292396"	"DDB_G0292396"	""
"Q54DB4"	"DDB_G0292394"	"DDB_G0292394"	""
"Q54DC1"	"DDB_G0292368"	"DDB_G0292368"	""
"Q54DC2"	"DDB_G0292366"	"DDB_G0292366"	""
"Q54DC3"	"DDB_G0292336"	"DDB_G0292336"	""
"Q54DC6"	"DDB_G0292334"	"DDB_G0292334"	"unknown"
"Q54DC8"	"DDB_G0292350"	"DDB_G0292350"	"putative protein serine/threonine kinase, protein kinase, STE group"
"Q54DC9"	"DDB_G0292330"	"DDB_G0292330"	""
"Q54DD0"	"DDB_G0292266"	"amdA"	"AMP deaminase"
"Q54DD1"	"DDB_G0292328"	"iliM"	"FAD-binding monooxygenase"
"Q54DD2"	"DDB_G0292362"	"DDB_G0292362"	"peptidase M3A and M3B domain-containing protein"
"Q54DD3"	"DDB_G0292326"	"gcvT"	"aminomethyltransferase, glycine cleavage system T-protein"
"Q54DD4"	"DDB_G0292324"	"med28"	"putative mediator complex subunit 28"
"Q54DD5"	"DDB_G0292360"	"DDB_G0292360"	""
"Q54DD6"	"DDB_G0292322"	"DDB_G0292322"	"peptidoglycan-binding LysM domain-containing protein"
"Q54DD7"	"DDB_G0292320"	"DDB_G0292320"	"UNC-50 family protein"
"Q54DD9"	"DDB_G0292318"	"rsmD"	"small GTPase"
"Q54DE3"	"DDB_G0292314"	"gdt7"	"putative transmembrane protein"
"Q54DE4"	"DDB_G0292312"	"fbxD"	"F-box-containing protein FbxD"
"Q54DE7"	"DDB_G0292340"	"DDB_G0292340"	"patatin family protein"
"Q54DE8"	"DDB_G0292310"	"psenB"	"presenilin B"
"Q54DE9"	"DDB_G0292342"	"DDB_G0292342"	""
"Q54DF1"	"DDB_G0292306"	"atp5C1"	"ATP synthase gamma chain, F1-ATPase gamma subunit"
"Q54DF2"	"DDB_G0292304"	"mrkA"	"putative protein kinase MARK-A"
"Q54DF3"	"DDB_G0292302"	"DDB_G0292302"	""
"Q54DF4"	"DDB_G0292300"	"rsmM"	"small GTPase"
"Q54DF5"	"DDB_G0292298"	"DDB_G0292298"	""
"Q54DF7"	"DDB_G0292354"	"DDB_G0292354"	"tau-tubulin kinase homolog"
"Q54DF9"	"DDB_G0292294"	"hemE"	"uroporphyrinogen decarboxylase"
"Q54DG0"	"DDB_G0292358"	"ino80"	"SNF2-related domain-containing protein, DEAD/DEAH box helicase domain-containing protein, CHR group protein, helicase, C-terminal domain-containing protein"
"Q54DG1"	"DDB_G0292270"	"comG"	"aldehyde dehydrogenase, putative NAD-dependent aldehyde dehydrogenase"
"Q54DG3"	"DDB_G0292292"	"DDB_G0292292"	""
"Q54DG4"	"DDB_G0292290"	"DDB_G0292290"	"Sentrin-specific protease 1"
"Q54DG5"	"DDB_G0292288"	"DDB_G0292288"	""
"Q54DG6"	"DDB_G0292286"	"DDB_G0292286"	""
"Q54DG7"	"DDB_G0292284"	"DDB_G0292284"	""
"Q54DG8"	"DDB_G0292282"	"DDB_G0292282"	""
"Q54DH5"	"DDB_G0292248"	"DDB_G0292248"	"unknown"
"Q54DH6"	"DDB_G0292246"	"DDB_G0292246"	""
"Q54DH7"	"DDB_G0292244"	"rpb3"	"RNA polymerase II core subunit"
"Q54DH8"	"DDB_G0292242"	"taf1"	"transcription initiation factor TFIID subunit 1"
"Q54DH9"	"DDB_G0292240"	"DDB_G0292240"	""
"Q54DI1"	"DDB_G0349136"	"DDB_G0349136"	""
"Q54DI2"	"DDB_G0292236"	"DDB_G0292236"	"unknown"
"Q54DI3"	"DDB_G0292234"	"DDB_G0292234"	""
"Q54DI4"	"DDB_G0292232"	"DDB_G0292232"	""
"Q54DI5"	"DDB_G0292256"	"DDB_G0292256"	"unknown"
"Q54DI6"	"DDB_G0292208"	"DDB_G0292208"	"transmembrane protein"
"Q54DI8"	"DDB_G0292212"	"vps26l"	"vacuolar protein sorting-associated protein 26 family protein"
"Q54DI9"	"DDB_G0292214"	"DDB_G0292214"	"protein phosphatase 2C-related protein"
"Q54DJ0"	"DDB_G0292216"	"bxdc1"	"brix domain-containing protein"
"Q54DJ1"	"DDB_G0292218"	"st15"	"cellulose-binding domain-containing protein St15"
"Q54DJ2"	"DDB_G0292220"	"ecmH"	"cellulose-binding domain-containing protein EcmH"
"Q54DJ3"	"DDB_G0292222"	"ecmI"	"cellulose-binding domain-containing protein, putative extracellular matrix protein"
"Q54DJ4"	"DDB_G0292224"	"ecmG"	"cellulose-binding domain-containing protein EcmG"
"Q54DJ5"	"DDB_G0292226"	"DDB_G0292226"	""
"Q54DJ7"	"DDB_G0292230"	"DDB_G0292230"	""
"Q54DJ8"	"DDB_G0292254"	"DDB_G0292254"	""
"Q54DJ9"	"DDB_G0292258"	"DDB_G0292258"	""
"Q54DK0"	"DDB_G0292252"	"DDB_G0292252"	"unknown"
"Q54DK1"	"DDB_G0292250"	"sqrdl"	"putative sulfide quinone reductase"
"Q54DK3"	"DDB_G0292152"	"cdc7"	"putative protein serine/threonine kinase, CDC7 family protein kinase"
"Q54DK4"	"DDB_G0292150"	"ak1"	"alpha protein kinase 1"
"Q54DK5"	"DDB_G0292196"	"DDB_G0292196"	""
"Q54DK7"	"DDB_G0292194"	"DDB_G0292194"	""
"Q54DK8"	"DDB_G0292192"	"DDB_G0292192"	""
"Q54DK9"	"DDB_G0292148"	"DDB_G0292148"	"Arf GTPase activating protein"
"Q54DL0"	"DDB_G0292146"	"DDB_G0292146"	""
"Q54DL1"	"DDB_G0292162"	"DDB_G0292162"	"putative unc-93 family protein"
"Q54DL2"	"DDB_G0292144"	"DDB_G0292144"	"BTB/POZ domain-containing protein KCTD4"
"Q54DL4"	"DDB_G0292190"	"DDB_G0292190"	"putative phosphatidylinositol phosphate kinase"
"Q54DL5"	"DDB_G0292142"	"cepA"	"centrosomal protein 39 kDa"
"Q54DL6"	"DDB_G0292140"	"DDB_G0292140"	"SET domain-containing protein"
"Q54DL7"	"DDB_G0292188"	"DDB_G0292188"	"unknown"
"Q54DL9"	"DDB_G0292138"	"DDB_G0292138"	"Probable RNA-binding protein EIF1AD"
"Q54DM0"	"DDB_G0292136"	"hatC"	"actin binding protein, hisactophilin III"
"Q54DM1"	"DDB_G0292134"	"bub3"	"WD40 repeat-containing protein, putative mitotic checkpoint protein"
"Q54DM2"	"DDB_G0292132"	"DDB_G0292132"	"multi antimicrobial extrusion (MatE) family protein"
"Q54DM3"	"DDB_G0292130"	"blm"	"ATP-dependent DNA helicase RecQ family protein, Bloom syndrome protein"
"Q54DM4"	"DDB_G0292128"	"DDB_G0292128"	"E3 ubiquitin-protein ligase UBR2"
"Q54DM6"	"DDB_G0292124"	"DDB_G0292124"	"Rab3 GTPase-activating protein catalytic subunit"
"Q54DM7"	"DDB_G0292122"	"psmA2"	"proteasome subunit alpha type 2, 20S proteasome subunit alpha-2"
"Q54DM8"	"DDB_G0292120"	"cnrK"	"RING zinc finger-containing protein, putative cell number regulator"
"Q54DM9"	"DDB_G0292118"	"alg11"	"glycosyltransferase, alpha-1,2-mannosyltransferase"
"Q54DN0"	"DDB_G0292116"	"DDB_G0292116"	"glucose/ribitol dehydrogenase family protein"
"Q54DN1"	"DDB_G0292114"	"DDB_G0292114"	""
"Q54DN3"	"DDB_G0291986"	"xpo7"	"exportin 7, RAN binding protein 16"
"Q54DN5"	"DDB_G0291984"	"DDB_G0291984"	"SH3 domain-containing protein, putative glutaminase"
"Q54DN6"	"DDB_G0292112"	"galK"	"galactokinase"
"Q54DN7"	"DDB_G0292110"	"DDB_G0292110"	"patatin family protein"
"Q54DN9"	"DDB_G0292108"	"DDB_G0292108"	"DEAD-box ATP-dependent RNA helicase"
"Q54DP0"	"DDB_G0292106"	"DDB_G0292106"	""
"Q54DP1"	"DDB_G0292104"	"tkrA"	"gluconate 2-dehydrogenase, 2-keto-D-gluconate reductase"
"Q54DP2"	"DDB_G0292102"	"fscJ"	"G-protein-coupled receptor (GPCR) family protein, frizzled and smoothened-like sans CRD protein"
"Q54DP3"	"DDB_G0292100"	"fscH"	"G-protein-coupled receptor (GPCR) family protein, frizzled and smoothened-like sans CRD protein"
"Q54DP4"	"DDB_G0292098"	"DDB_G0292098"	""
"Q54DP5"	"DDB_G0292096"	"DDB_G0292096"	"cytidine/deoxycytidylate deaminase zinc-binding domain-containing protein"
"Q54DP7"	"DDB_G0292182"	"mybR"	"myb domain-containing protein"
"Q54DP8"	"DDB_G0292094"	"DDB_G0292094"	""
"Q54DQ3"	"DDB_G0292180"	"mybT"	"myb domain-containing protein"
"Q54DQ7"	"DDB_G0292080"	"DDB_G0292080"	""
"Q54DQ8"	"DDB_G0292078"	"DDB_G0292078"	""
"Q54DQ9"	"DDB_G0292076"	"DDB_G0292076"	""
"Q54DR0"	"DDB_G0292074"	"commd1"	"COMM domain-containing protein 1"
"Q54DR1"	"DDB_G0292072"	"fdfT"	"farnesyl-diphosphate farnesyltransferase, squalene synthase"
"Q54DR2"	"DDB_G0292070"	"DDB_G0292070"	"Kelch repeat-containing protein"
"Q54DR3"	"DDB_G0292068"	"frpA"	"fimbrin-related protein"
"Q54DR4"	"DDB_G0292066"	"ncapH"	"non-SMC condensin I complex, subunit H"
"Q54DR5"	"DDB_G0292158"	"DDB_G0292158"	""
"Q54DS3"	"DDB_G0292058"	"DDB_G0292058"	"unknown"
"Q54DS4"	"DDB_G0292056"	"DDB_G0292056"	"WD repeat-containing protein YDR128W"
"Q54DS5"	"DDB_G0292170"	"DDB_G0292170"	""
"Q54DS6"	"DDB_G0291974"	"docA"	"putative guanine nucleotide exchange factor DocA"
"Q54DS7"	"DDB_G0292054"	"DDB_G0292054"	"carbohydrate-binding domain-containing protein"
"Q54DS8"	"DDB_G0292052"	"sec13"	"WD40 repeat-containing protein, putative transport protein"
"Q54DT1"	"DDB_G0291980"	"abcA9"	"ABC transporter A family protein"
"Q54DT2"	"DDB_G0292168"	"cyp516A1"	"cytochrome P450 family protein"
"Q54DT3"	"DDB_G0292048"	"DDB_G0292048"	"N(6)-adenine-specific DNA methyltransferase 1"
"Q54DT4"	"DDB_G0292046"	"DDB_G0292046"	"Ubiquitin carboxyl-terminal hydrolase 34"
"Q54DT5"	"DDB_G0292044"	"DDB_G0292044"	""
"Q54DT6"	"DDB_G0292042"	"DDB_G0292042"	"glucose-methanol-choline oxidoreductase"
"Q54DT7"	"DDB_G0292202"	"DDB_G0292202"	"unknown"
"Q54DT8"	"DDB_G0292040"	"hemG"	"protoporphyrinogen oxidase"
"Q54DT9"	"DDB_G0292038"	"DDB_G0292038"	"acyltransferase domain-containing protein"
"Q54DU0"	"DDB_G0292036"	"ric8"	"synembryn family protein Ric8"
"Q54DU1"	"DDB_G0292034"	"mcfP"	"mitochondrial substrate carrier family protein P"
"Q54DU2"	"DDB_G0291992"	"DDB_G0291992"	"unknown"
"Q54DU3"	"DDB_G0292032"	"DDB_G0292032"	"Nodal modulator 3"
"Q54DU4"	"DDB_G0292030"	"DDB_G0292030"	""
"Q54DU5"	"DDB_G0292028"	"DDB_G0292028"	"von Willebrand factor A domain-containing protein 5B1"
"Q54DU8"	"DDB_G0291990"	"febA"	"Eukaryotic translation initiation factor 4E-binding protein 1"
"Q54DU9"	"DDB_G0292024"	"DDB_G0292024"	"putative protein tyrosine phosphatase, dual specificity"
"Q54DV0"	"DDB_G0292022"	"ubr7"	"ubiquitin protein ligase E3 component n-recognin 7"
"Q54DV1"	"DDB_G0292020"	"DDB_G0292020"	""
"Q54DV3"	"DDB_G0292016"	"DDB_G0292016"	"von Willebrand factor A domain-containing protein 5A"
"Q54DV5"	"DDB_G0292014"	"psiK"	"PA14 domain-containing protein"
"Q54DV6"	"DDB_G0292012"	"DDB_G0292012"	"GCN5-related N-acetyltransferase"
"Q54DV7"	"DDB_G0292010"	"DDB_G0292010"	""
"Q54DV8"	"DDB_G0292008"	"DDB_G0292008"	""
"Q54DV9"	"DDB_G0292154"	"DDB_G0292154"	""
"Q54DW0"	"DDB_G0292006"	"DDB_G0292006"	"GCN5-related N-acetyltransferase"
"Q54DW1"	"DDB_G0292004"	"docC"	"DOCK family protein, putative guanine nucleotide exchange factor (GEF), cyclin-like F-box containing protein"
"Q54DW2"	"DDB_G0292002"	"ergic3"	"endoplasmic reticulum-golgi intermediate compartment protein 3"
"Q54DW3"	"DDB_G0292000"	"DDB_G0292000"	""
"Q54DW4"	"DDB_G0291978"	"xacA"	"RacGAP and RhoGEF protein"
"Q54DW5"	"DDB_G0291998"	"naglu"	"alpha-N-acetylglucosaminidase"
"Q54DW7"	"DDB_G0291996"	"gxcU"	"pleckstrin homology (PH) domain-containing protein, RhoGEF domain-containing protein, FYVE-type zinc finger-containing protein"
"Q54DW8"	"DDB_G0292166"	"DDB_G0292166"	""
"Q54DW9"	"DDB_G0291968"	"DDB_G0291968"	""
"Q54DX0"	"DDB_G0291938"	"DDB_G0291938"	""
"Q54DX1"	"DDB_G0291936"	"DDB_G0291936"	""
"Q54DX3"	"DDB_G0291926"	"DDB_G0291926"	"endothelial monocyte-activating polypeptide II precursor pro-EMAP II family protein"
"Q54DX6"	"DDB_G0291924"	"DDB_G0291924"	""
"Q54DX7"	"DDB_G0291922"	"taz"	"tafazzin family protein, phospholipid/glycerol acyltransferase domain-containing protein"
"Q54DX9"	"DDB_G0291920"	"DDB_G0291920"	""
"Q54DY0"	"DDB_G0291918"	"DDB_G0291918"	"putative protein serine/threonine kinase DDB_G0291918"
"Q54DY1"	"DDB_G0291916"	"argJ"	"amino-acid N-acetyltransferase, N-acetylglutamate synthetase, ornithine transacetylase"
"Q54DY2"	"DDB_G0291934"	"DDB_G0291934"	""
"Q54DY3"	"DDB_G0291948"	"DDB_G0291948"	"UPF0539 family protein"
"Q54DY4"	"DDB_G0291946"	"DDB_G0291946"	""
"Q54DY6"	"DDB_G0291914"	"DDB_G0291914"	""
"Q54DY7"	"DDB_G0291912"	"DDB_G0291912"	"peptidase S10 family protein, serine carboxypeptidase, carboxypeptidase C"
"Q54DY8"	"DDB_G0291856"	"gerD"	"germination protein (270G)"
"Q54DY9"	"DDB_G0291910"	"bcs1lB"	"mitochondrial chaperone BCS1, mitochondrial ATPase"
"Q54DZ0"	"DDB_G0291908"	"DDB_G0291908"	"THUMP domain-containing protein 1"
"Q54DZ1"	"DDB_G0291906"	"DDB_G0291906"	"putative guanine nucleotide exchange factor (GEF), DENN domain-containing protein"
"Q54DZ2"	"DDB_G0291904"	"DDB_G0291904"	""
"Q54DZ4"	"DDB_G0291902"	"DDB_G0291902"	"cyclin-like F-box containing protein"
"Q54DZ5"	"DDB_G0291900"	"DDB_G0291900"	""
"Q54DZ8"	"DDB_G0291896"	"DDB_G0291896"	"NASP-related protein"
"Q54DZ9"	"DDB_G0291894"	"ncapH2"	"non-SMC condensin II complex, subunit H2"
"Q54E00"	"DDB_G0291892"	"DDB_G0291892"	""
"Q54E01"	"DDB_G0291942"	"DDB_G0291942"	"NudC domain-containing protein 2"
"Q54E04"	"DDB_G0291858"	"vatM"	"vacuolar proton ATPase 100-kDa subunit"
"Q54E05"	"DDB_G0291888"	"DDB_G0291888"	""
"Q54E06"	"DDB_G0295691"	"DDB_G0295691"	"transmembrane protein"
"Q54E18"	"DDB_G0291874"	"DDB_G0291874"	""
"Q54E19"	"DDB_G0291872"	"DDB_G0291872"	"SMAD/FHA domain-containing protein, PARP-type zinc finger-containing protein, uracil-DNA glycosylase family protein"
"Q54E20"	"DDB_G0291870"	"rpl13"	"S60 ribosomal protein L13"
"Q54E21"	"DDB_G0291868"	"rfc2"	"replication factor C subunit 2"
"Q54E22"	"DDB_G0291866"	"ndufab1"	"acyl carrier protein, NADH dehydrogenase ubiquinone 1, alpha/beta subcomplex, NADH-ubiquinone oxidoreductase"
"Q54E24"	"DDB_G0291864"	"rps8"	"40S ribosomal protein S8"
"Q54E26"	"DDB_G0291844"	"DDB_G0291844"	""
"Q54E28"	"DDB_G0291832"	"wdr23"	"WD40 repeat-containing protein"
"Q54E29"	"DDB_G0291830"	"thg1"	"tRNA-histidine guanylyltransferase 1"
"Q54E30"	"DDB_G0291828"	"DDB_G0291828"	""
"Q54E31"	"DDB_G0291826"	"DDB_G0291826"	""
"Q54E32"	"DDB_G0291824"	"DDB_G0291824"	""
"Q54E33"	"DDB_G0291822"	"wdr92"	"WD40 repeat-containing protein"
"Q54E34"	"DDB_G0291842"	"DDB_G0291842"	"WEE family protein kinase DDB_G0291842"
"Q54E35"	"DDB_G0291840"	"gacEE"	"pleckstrin homology (PH) domain-containing protein, RhoGAP domain-containing protein, C2 calcium/lipid-binding (CaLB) region-containing protein"
"Q54E36"	"DDB_G0291838"	"xpo2"	"exportin 2"
"Q54E37"	"DDB_G0291836"	"DDB_G0291836"	"Squamous cell carcinoma antigen recognized by T-cells 3"
"Q54E38"	"DDB_G0291820"	"DDB_G0291820"	""
"Q54E39"	"DDB_G0291818"	"DDB_G0291818"	""
"Q54E40"	"DDB_G0291816"	"DDB_G0291816"	"Thiosulfate sulfurtransferase"
"Q54E41"	"DDB_G0291814"	"hao"	"hydroxyacid oxidase"
"Q54E42"	"DDB_G0291788"	"adprt3"	"poly(ADP-ribosyl)transferase, NAD+ ADP-ribosyltransferase"
"Q54E43"	"DDB_G0291812"	"DDB_G0291812"	""
"Q54E44"	"DDB_G0291854"	"DDB_G0291854"	"unknown"
"Q54E45"	"DDB_G0291810"	"DDB_G0291810"	""
"Q54E46"	"DDB_G0291808"	"DDB_G0291808"	""
"Q54E47"	"DDB_G0291806"	"DDB_G0291806"	""
"Q54E48"	"DDB_G0291852"	"DDB_G0291852"	"UPF0551 family protein"
"Q54E49"	"DDB_G0291804"	"ddx6"	"putative RNA helicase, DEAD/DEAH box helicase"
"Q54E51"	"DDB_G0291802"	"qtrt1"	"queuine tRNA-ribosyltransferase, tRNA-guanine transglycosylase"
"Q54E53"	"DDB_G0291848"	"csn3"	"proteasome component region PCI (PINT) domain-containing protein, COP9 signalosome complex subunit 3"
"Q54E54"	"DDB_G0291798"	"DDB_G0291798"	""
"Q54E55"	"DDB_G0291796"	"araA"	"putative regulator of adhesion and motility 4"
"Q54E56"	"DDB_G0291794"	"ptcL"	"pentatricopeptide repeat-containing protein L"
"Q54E57"	"DDB_G0291792"	"DDB_G0291792"	""
"Q54E61"	"DDB_G0291782"	"DDB_G0291782"	""
"Q54E62"	"DDB_G0291780"	"wbp1"	"dolichyl-diphosphooligosaccharide-protein glycotransferase subunit Wbp1"
"Q54E63"	"DDB_G0291786"	"DDB_G0291786"	""
"Q54E64"	"DDB_G0291768"	"tstC"	"mu-like TSET complex subunit"
"Q54E65"	"DDB_G0291716"	"DDB_G0291716"	""
"Q54E66"	"DDB_G0291718"	"DDB_G0291718"	""
"Q54E67"	"DDB_G0291720"	"DDB_G0291720"	""
"Q54E68"	"DDB_G0291722"	"DDB_G0291722"	"UNC93-like protein MFSD11"
"Q54E70"	"DDB_G0291726"	"DDB_G0291726"	""
"Q54E71"	"DDB_G0291728"	"arpE"	"actin related protein 5"
"Q54E72"	"DDB_G0291730"	"DDB_G0291730"	""
"Q54E73"	"DDB_G0291732"	"DDB_G0291732"	"nmrA-like family protein"
"Q54E74"	"DDB_G0291778"	"DDB_G0291778"	""
"Q54E75"	"DDB_G0291766"	"DDB_G0291766"	""
"Q54E77"	"DDB_G0291764"	"DDB_G0291764"	"ribonucleotide reductase-related"
"Q54E78"	"DDB_G0291774"	"DDB_G0291774"	""
"Q54E80"	"DDB_G0291760"	"DDB_G0291760"	""
"Q54E83"	"DDB_G0291756"	"gshB"	"glutathione synthase"
"Q54E84"	"DDB_G0291754"	"DDB_G0291754"	"unknown"
"Q54E85"	"DDB_G0291752"	"smc1"	"structural maintenance of chromosome protein"
"Q54E86"	"DDB_G0291750"	"mnd1"	"meiotic nuclear division protein 1"
"Q54E87"	"DDB_G0291748"	"DDB_G0291748"	""
"Q54E89"	"DDB_G0291744"	"DDB_G0291744"	""
"Q54E91"	"DDB_G0291740"	"DDB_G0291740"	""
"Q54E92"	"DDB_G0291738"	"rabG1"	"Rab GTPase"
"Q54E95"	"DDB_G0291734"	"ppil3"	"cyclophilin-type peptidylprolyl cis-trans isomerase (PPIase)"
"Q54E97"	"DDB_G0291700"	"DDB_G0291700"	""
"Q54E98"	"DDB_G0291702"	"cyp520B1"	"cytochrome P450 family protein"
"Q54EA0"	"DDB_G0291712"	"DDB_G0291712"	""
"Q54EA1"	"DDB_G0291704"	"DDB_G0291704"	""
"Q54EA2"	"DDB_G0291706"	"DDB_G0291706"	""
"Q54EA5"	"DDB_G0291694"	"DDB_G0291694"	"SEC23-interacting protein"
"Q54EB2"	"DDB_G0291604"	"DDB_G0291604"	"beta-ketoacyl synthase family protein"
"Q54EB3"	"DDB_G0291602"	"DDB_G0291602"	""
"Q54EB4"	"DDB_G0291600"	"ldpA"	"lipid droplet membrane protein Ldp"
"Q54EB5"	"DDB_G0291598"	"DDB_G0291598"	""
"Q54EB6"	"DDB_G0291596"	"wdr13"	"WD40 repeat-containing protein"
"Q54EB8"	"DDB_G0291592"	"DDB_G0291592"	""
"Q54EB9"	"DDB_G0291646"	"DDB_G0291646"	"unknown"
"Q54EC0"	"DDB_G0291618"	"DDB_G0291618"	"unknown"
"Q54EC1"	"DDB_G0291590"	"rexo1"	"RNA exonuclease 1"
"Q54EC2"	"DDB_G0291588"	"ddx55"	"putative RNA helicase, DEAD/DEAH box helicase"
"Q54EC4"	"DDB_G0291616"	"DDB_G0291616"	""
"Q54EC7"	"DDB_G0291580"	"DDB_G0291580"	""
"Q54EC8"	"DDB_G0291578"	"DDB_G0291578"	"unknown"
"Q54EC9"	"DDB_G0291576"	"DDB_G0291576"	"DUF781 family protein"
"Q54ED0"	"DDB_G0291574"	"DDB_G0291574"	"putative transmembrane protein"
"Q54ED1"	"DDB_G0291572"	"DDB_G0291572"	"unknown"
"Q54ED2"	"DDB_G0291570"	"exo1"	"exonuclease 1"
"Q54ED3"	"DDB_G0291568"	"dnaja1"	"DnaJ homolog subfamily A member 1"
"Q54ED4"	"DDB_G0291566"	"grwd1"	"glutamate-rich WD repeat-containing protein 1"
"Q54ED5"	"DDB_G0291564"	"DDB_G0291564"	""
"Q54ED6"	"DDB_G0291684"	"pks41"	"putative polyketide synthase, beta-ketoacyl synthase family protein"
"Q54ED9"	"DDB_G0291538"	"DDB_G0291538"	"transferase hexapeptide repeat family protein, putative acetyltransferase"
"Q54EE0"	"DDB_G0291540"	"DDB_G0291540"	""
"Q54EE2"	"DDB_G0291644"	"DDB_G0291644"	""
"Q54EE6"	"DDB_G0291546"	"DDB_G0291546"	""
"Q54EE7"	"DDB_G0291548"	"DDB_G0291548"	"SAP DNA-binding domain-containing protein"
"Q54EF1"	"DDB_G0291554"	"DDB_G0291554"	"Putative oligopeptide transporter YGL114W"
"Q54EF2"	"DDB_G0291556"	"prmt1"	"protein arginine methyltransferase"
"Q54EF3"	"DDB_G0291558"	"DDB_G0291558"	""
"Q54EF5"	"DDB_G0291562"	"osbL"	"oxysterol binding family protein, member 12"
"Q54EF6"	"DDB_G0291612"	"DDB_G0291612"	"Ubiquitin-conjugating enzyme E2C-binding protein"
"Q54EF7"	"DDB_G0291640"	"DDB_G0291640"	""
"Q54EF8"	"DDB_G0291536"	"gnrB"	"gelsolin-related protein"
"Q54EF9"	"DDB_G0291534"	"DDB_G0291534"	""
"Q54EG0"	"DDB_G0291532"	"DDB_G0291532"	""
"Q54EG1"	"DDB_G0291530"	"DDB_G0291530"	""
"Q54EG2"	"DDB_G0291528"	"iptB"	"putative isopentenyltransferase, putative isopentenylpyrophosphate (IPP) transferase"
"Q54EG3"	"DDB_G0291526"	"rps14"	"40S ribosomal protein S14"
"Q54EG4"	"DDB_G0291524"	"DDB_G0291524"	"putative alpha-N-acetylgalactosaminidase, glycoside hydrolase family 27 protein"
"Q54EG5"	"DDB_G0291522"	"DDB_G0291522"	""
"Q54EG7"	"DDB_G0291520"	"iliO"	"putative RNA ligase"
"Q54EG8"	"DDB_G0291518"	"DDB_G0291518"	"putative transmembrane protein"
"Q54EG9"	"DDB_G0291516"	"DDB_G0291516"	"putative protein kinase, ankyrin repeat-containing protein"
"Q54EH0"	"DDB_G0291514"	"tgrA4"	"transmembrane protein, immunoglobulin E-set domain-containing protein"
"Q54EH1"	"DDB_G0291512"	"epnA"	"epsin"
"Q54EH2"	"DDB_G0291636"	"rpb5"	"RNA polymerase II core subunit, RNA polymerase I core subunit, RNA polymerase III core subunit"
"Q54EH3"	"DDB_G0291510"	"DDB_G0291510"	"RapGAP/RanGAP domain-containing protein, putative GTPase activating protein (GAP), citron-like domain-containing protein, putative RapGAP"
"Q54EH4"	"DDB_G0291508"	"DDB_G0291508"	""
"Q54EH6"	"DDB_G0291506"	"gins3"	"GINS complex subunit 3"
"Q54EH7"	"DDB_G0291249"	"rrpB"	"RNA-directed RNA polymerase RrpB"
"Q54EI2"	"DDB_G0291496"	"DDB_G0291496"	""
"Q54EI4"	"DDB_G0291676"	"DDB_G0291676"	"short-chain dehydrogenase/reductase (SDR) family protein, glucose/ribitol dehydrogenase family protein"
"Q54EI5"	"DDB_G0291674"	"DDB_G0291674"	"short-chain dehydrogenase/reductase (SDR) family protein, glucose/ribitol dehydrogenase family protein"
"Q54EI6"	"DDB_G0291494"	"DDB_G0291494"	""
"Q54EI7"	"DDB_G0291632"	"DDB_G0291632"	""
"Q54EJ0"	"DDB_G0291492"	"DDB_G0291492"	""
"Q54EJ2"	"DDB_G0291488"	"DDB_G0291488"	""
"Q54EJ3"	"DDB_G0291486"	"DDB_G0291486"	"RNA-binding region RNP-1 domain-containing protein, RNA recognition motif-containing protein RRM, putative splicing regulator"
"Q54EJ4"	"DDB_G0291484"	"DDB_G0291484"	""
"Q54EJ5"	"DDB_G0291482"	"gloB2"	"hydroxyacylglutathione hydrolase, glyoxylase II, beta-lactamase domain-containing protein"
"Q54EJ6"	"DDB_G0291480"	"DDB_G0291480"	""
"Q54EJ7"	"DDB_G0291672"	"DDB_G0291672"	""
"Q54EJ8"	"DDB_G0291478"	"DDB_G0291478"	""
"Q54EJ9"	"DDB_G0291227"	"ctrA"	"putative cationic amino acid transporter, solute carrier family 7 member protein"
"Q54EK0"	"DDB_G0291606"	"vps8"	"RING zinc finger-containing protein, WD40 repeat-containing protein"
"Q54EK1"	"DDB_G0291476"	"DDB_G0291476"	"esterase/lipase/thioesterase domain-containing protein"
"Q54EK2"	"DDB_G0291243"	"abcC7"	"ABC transporter C family protein"
"Q54EK3"	"DDB_G0291474"	"DDB_G0291474"	""
"Q54EK4"	"DDB_G0291628"	"DDB_G0291628"	""
"Q54EK6"	"DDB_G0291472"	"DDB_G0291472"	"pirin family protein"
"Q54EK7"	"DDB_G0291470"	"DDB_G0291470"	""
"Q54EK8"	"DDB_G0291468"	"DDB_G0291468"	"Ankyrin repeat domain-containing protein 13C"
"Q54EK9"	"DDB_G0291466"	"DDB_G0291466"	""
"Q54EL0"	"DDB_G0291464"	"DDB_G0291464"	""
"Q54EL2"	"DDB_G0291462"	"DDB_G0291462"	""
"Q54EL3"	"DDB_G0291670"	"DDB_G0291670"	"unknown"
"Q54EL4"	"DDB_G0291668"	"tgrA3"	"immunoglobulin E-set domain-containing protein"
"Q54EM1"	"DDB_G0291664"	"DDB_G0291664"	"putative protein kinase, ankyrin repeat-containing protein"
"Q54EM2"	"DDB_G0291454"	"tgrC4"	"IPT/TIG domain-containing protein, immunoglobulin E-set domain-containing protein"
"Q54EM3"	"DDB_G0291452"	"DDB_G0291452"	""
