"UniProt_ID"	"GENE_ID"	"Gene_Name"	"Gene_products"	"padj"
"Q54ST5"	"DDB_G0282233"	"ehd"	"putative regulator of phagosome maturation"	0.02
"Q54VB8"	"DDB_G0280465"	"DDB_G0280465"	"3-hydroxyacyl-CoA dehydrogenase family protein"	0.02
"Q54VM9"	"DDB_G0280243"	"DDB_G0280243"	"ATP synthase mitochondrial F1 complex assembly factor 1"	0.02
"Q54Y14"	"DDB_G0278477"	"sarB"	"ARF/SAR superfamily protein, GTP-binding protein Sar1B"	0.02
"Q55CT6"	"DDB_G0270990"	"DDB_G0270990"	"putative acyl-CoA oxidase"	0.02
"Q55FN7"	"DDB_G0268020"	"bkdB"	"branched-chain alpha-keto acid dehydrogenase E1 beta chain"	0.02
"Q75JW6"	"DDB_G0272184"	"DDB_G0272184"	"zinc-containing alcohol dehydrogenase (ADH)"	0.02
"Q75K18"	"DDB_G0275455"	"srp54"	"signal recognition particle 54 kDa subunit"	0.02
"Q7KWK5"	"DDB_G0276803"	"prp19"	"WD40 repeat-containing protein, putative RNA splicing factor, putative ubiquitin-protein ligase (E4), pre-mRNA processing factor 19"	0.02
"Q7KWY5"	"DDB_G0276769"	"DDB_G0276769"	""	0.02
"Q869L3"	"DDB_G0295765"	"mdn1"	"type A von Willebrand factor (VWFA) domain-containing protein, putative AAA+ ATPase"	0.02
"Q86B09"	"DDB_G0272781"	"pmmB"	"phosphomannomutase B"	0.02
"Q9NHF6"	"DDB_G0283767"	"dct"	"dynacortin"	0.02
"C7G034"	"DDB_G0285063"	"DDB_G0285063"	"putative E3 ubiquitin-protein ligase"	0.021
"Q54D66"	"DDB_G0292456"	"apeh"	"acylaminoacyl-peptidase, N-acylpeptide hydrolase, acylamino-acid-releasing enzyme"	0.021
"Q54E45"	"DDB_G0291810"	"DDB_G0291810"	""	0.021
"Q54FF8"	"DDB_G0290885"	"DDB_G0290885"	"unknown"	0.021
"Q54FY8"	"DDB_G0290527"	"DDB_G0290527"	""	0.021
"Q54KM1"	"DDB_G0287243"	"DDB_G0287243"	"mRNA-decapping enzyme 1B"	0.021
"Q54L63"	"DDB_G0286875"	"gatA"	"glutamyl-tRNA(Gln) amidotransferase A subunit"	0.021
"Q54N71"	"DDB_G0285467"	"DDB_G0285467"	"putative amidohydrolase, metal-dependent hydrolase family protein"	0.021
"Q54S38"	"DDB_G0282803"	"rcl1"	"RNA 3'-terminal phosphate cyclase family protein"	0.021
"Q54TE4"	"DDB_G0281793"	"DDB_G0281793"	""	0.021
"Q54V07"	"DDB_G0280689"	"tgrB1"	"Tiger protein B1"	0.021
"Q54VQ0"	"DDB_G0280205"	"DDB_G0280205"	""	0.021
"Q6T486"	"DDB_G0286961"	"rbrA"	"ariadne-like ubiquitin ligase, C3HC4-type zinc finger-containing protein, IBR zinc finger-containing protein"	0.021
"Q75JF5"	"DDB_G0276137"	"xrn1"	"5'-3' exoribonuclease"	0.021
"Q75JK6"	"DDB_G0276241"	"atp5e"	"ATP synthase epsilon chain, mitochondrial"	0.021
"Q8T2H0"	"DDB_G0272190"	"fam49"	"FAM49 family protein"	0.021
"Q94489"	"DDB_G0281561"	"tipA"	"tipA protein"	0.021
"C7G042"	"DDB_G0295785"	"DDB_G0295785"	"cyclin-related 2 family protein"	0.022
"P54639"	"DDB_G0278721"	"cprD"	"cysteine proteinase 4"	0.022
"Q54E48"	"DDB_G0291852"	"DDB_G0291852"	"UPF0551 family protein"	0.022
"Q54F53"	"DDB_G0291097"	"vps33"	"Sec1-like family protein"	0.022
"Q54YZ6"	"DDB_G0277987"	"gxcA"	"Rac guanyl-nucleotide exchange factor A"	0.022
"P34149"	"DDB_G0293526"	"racC"	"Rho GTPase RacC"	0.023
"Q54JJ5"	"DDB_G0288011"	"DDB_G0288011"	"methyltransferase type 11 domain-containing protein"	0.023
"Q54QJ9"	"DDB_G0283805"	"adkA"	"adenylate kinase"	0.023
"Q54YM4"	"DDB_G0278169"	"DDB_G0278169"	""	0.023
"Q54YY2"	"DDB_G0278013"	"DDB_G0278013"	"unknown"	0.023
"Q54Z13"	"DDB_G0277971"	"vatG"	"vacuolar ATPase subunit G"	0.023
"Q55BU2"	"DDB_G0269106"	"cahA"	"carbonic anhydrase"	0.023
"Q55GC0"	"DDB_G0267734"	"DDB_G0267734"	"putative SAM dependent methyltransferase"	0.023
"Q55GI0"	"DDB_G0349279"	"DDB_G0349279"	""	0.023
"Q6RYT0"	"DDB_G0270836"	"fbp"	"D-fructose-1,6-bisphosphate 1-phosphohydrolase, fructose-1,6-bisphosphatase"	0.023
"Q76NW7"	"DDB_G0276861"	"DDB_G0276861"	"armadillo-like helical domain-containing protein"	0.023
"Q86JB3"	"DDB_G0277025"	"DDB_G0277025"	"Uncharacterized protein yedJ"	0.023
"Q8T137"	"DDB_G0272754"	"gsr"	"glutathione reductase, glutathione-disulfide reductase"	0.023
"Q8T2J5"	"DDB_G0271968"	"DDB_G0271968"	"L-type lectin domain-containing protein, mannose-binding lectin"	0.023
"Q54J88"	"DDB_G0288217"	"mms19"	"putative DNA repair and transcription protein"	0.024
"Q54VM4"	"DDB_G0280251"	"DDB_G0280251"	"putative exosome complex exonuclease"	0.024
"Q54WZ2"	"DDB_G0279191"	"vacB"	"vacuolin B, prohibitin domain-containing protein"	0.024
"Q54XX5"	"DDB_G0278535"	"DDB_G0278535"	"ankyrin repeat-containing protein, SAM domain-containing protein, protein kinase, TKL group, tyrosine kinase-like protein, ARK family protein kinase"	0.024
"Q55DB1"	"DDB_G0269716"	"DDB_G0269716"	""	0.024
"Q8IS18"	"DDB_G0269252"	"gefE"	"Ras guanine nucleotide exchange factor E"	0.024
"O00899"	"DDB_G0269140"	"gapA"	"RasGTPase-activating protein GapA"	0.025
"O76740"	"DDB_G0281549"	"coxA"	"cytochrome c oxidase assembly protein"	0.025
"Q54LV3"	"DDB_G0286399"	"tsfm"	"elongation factor Ts"	0.025
"Q54P12"	"DDB_G0284881"	"DDB_G0284881"	""	0.025
"Q54XY1"	"DDB_G0278525"	"plaA"	"phospholipase A2"	0.025
"Q553P3"	"DDB_G0275385"	"DDB_G0275385"	"putative prolyl 4-hydroxylase alpha subunit"	0.025
"Q554F5"	"DDB_G0275209"	"cnrD"	"ubiquitin system component Cue domain containing protein, putative cell number regulator"	0.025
"Q55AW9"	"DDB_G0271630"	"sac1"	"putative phosphoinositide phosphatase"	0.025
"Q55BE4"	"DDB_G0271294"	"DDB_G0271294"	""	0.025
"Q55D85"	"DDB_G0269226"	"cas1"	"cycloartenol synthase"	0.025
"Q86H55"	"DDB_G0275885"	"DDB_G0275885"	"MKI67 FHA domain-interacting nucleolar phosphoprotein"	0.025
"Q86K32"	"DDB_G0277267"	"ube2n"	"putative ubiquitin-conjugating enzyme E2"	0.025
"Q8T638"	"DDB_G0289329"	"dmtA"	"des-methyl-DIF-1 methyltransferase, O-methyltransferase family 2 protein"	0.025
"Q9GPS1"	"DDB_G0269218"	"lyrm7"	"LYR motif-containing protein 7"	0.025
"Q54EW9"	"DDB_G0291293"	"rabU"	"Rab GTPase"	0.026
"Q54EX7"	"DDB_G0291281"	"DDB_G0291281"	""	0.026
"Q54GE3"	"DDB_G0290213"	"vps45"	"Sec1-like family protein"	0.026
"Q54NW9"	"DDB_G0284947"	"ucr"	"ubiquinol-cytochrome-c reductase subunit, Rieske iron-sulfur protein"	0.026
"Q54T46"	"DDB_G0282075"	"xpnpep3"	"peptidase M24 family protein, Xaa-Pro aminopeptidase 3"	0.026
"Q54UV0"	"DDB_G0280801"	"DDB_G0280801"	""	0.026
"Q55E94"	"DDB_G0270482"	"gfm1"	"mitochondrial translation elongation factor G"	0.026
"Q86A77"	"DDB_G0274331"	"DDB_G0274331"	"vacuolar ATP synthase subunit D"	0.026
"Q86I87"	"DDB_G0271894"	"DDB_G0271894"	""	0.026
"O61122"	"DDB_G0286359"	"svkA"	"severin kinase"	0.027
"Q54CN9"	"DDB_G0292836"	"DDB_G0292836"	"peptidase A22B family protein"	0.027
"Q54FA9"	"DDB_G0291057"	"DDB_G0291057"	""	0.027
"Q54HI5"	"DDB_G0289429"	"lmnB"	"lamin-like protein"	0.027
"Q54LT0"	"DDB_G0286429"	"mcu"	"mitochondrial calcium uniporter"	0.027
"Q54U70"	"DDB_G0281243"	"DDB_G0281243"	""	0.027
"Q54X55"	"DDB_G0279195"	"adprt1B"	"poly [ADP-ribose] polymerase 1B"	0.027
"Q54XE8"	"DDB_G0279009"	"gacP"	"RhoGAP domain-containing protein"	0.027
"Q54YS8"	"DDB_G0278103"	"DDB_G0278103"	""	0.027
"Q559H1"	"DDB_G0272931"	"timm9"	"mitochondrial import inner membrane translocase subunit 9"	0.027
"Q55BV5"	"DDB_G0270784"	"psmC1"	"26S proteasome ATPase 1 subunit, 26S protease regulatory subunit 4, TAT binding protein alpha"	0.027
"Q55CC8"	"DDB_G0270116"	"DDB_G0270116"	""	0.027
"Q55CE0"	"DDB_G0270102"	"mkcF"	"putative protein serine/threonine kinase, STE20 family protein kinase, SH3 domain-containing protein, protein kinase, STE group, MKC subfamily protein kinase"	0.027
"Q55H11"	"DDB_G0267292"	"DDB_G0267292_RTE"	"DIRS1 ORF1"	0.027
"C7FZZ8"	"DDB_G0276503"	"DDB_G0276503"	"phosphatidylserine decarboxylase"	0.028
"P24639"	"DDB_G0269160"	"nxnA"	"annexin VII"	0.028
"P54644"	"DDB_G0268620"	"pkbA"	"AKT/PKB protein kinase PkbA"	0.028
"Q54HU9"	"DDB_G0289211"	"DDB_G0289211"	"unknown"	0.028
"Q54KY9"	"DDB_G0287017"	"DDB_G0287017"	"haloacid dehalogenase-like hydrolase, HAD-like hydrolase"	0.028
"Q54TI4"	"DDB_G0281729"	"DDB_G0281729"	""	0.028
"Q54UG6"	"DDB_G0281091"	"DDB_G0281091"	"leucine-rich repeat-containing protein"	0.028
"Q54XH7"	"DDB_G0278925"	"DDB_G0278925"	""	0.028
"Q555V8"	"DDB_G0274811"	"argB"	"N-acetylglutamate kinase"	0.028
"Q557F3"	"DDB_G0273597"	"DDB_G0273597"	"unknown"	0.028
"Q55FE4"	"DDB_G0268154"	"DDB_G0268154"	""	0.028
"Q6TMJ4"	"DDB_G0283621"	"cutA"	"fatty acid elongase 3-ketoacyl-CoA synthase, long chain fatty acid elongase"	0.028
"Q7M438"	"DDB_G0281293"	"ddiA"	"ribonuclease T2"	0.028
"Q86IC9"	"DDB_G0275499"	"omt5"	"O-methyltransferase family 3 protein"	0.028
"Q9NGQ2"	"DDB_G0290963"	"kif1"	"kinesin-3"	0.028
"Q54BW6"	"DDB_G0293372"	"ttc27"	"tetratricopeptide repeat domain 27"	0.029
"Q54C50"	"DDB_G0293192"	"DG1098"	"armadillo-like helical domain-containing protein"	0.029
"Q54CU9"	"DDB_G0292686"	"dus3l"	"CCCH-type zinc finger-containing protein, tRNA-dihydrouridine synthase 3-like protein"	0.029
"Q54G53"	"DDB_G0290397"	"fthS"	"formate-dihydrofolate ligase, formyltetrahydrofolate synthetase"	0.029
"Q54IK3"	"DDB_G0288697"	"DDB_G0288697"	""	0.029
"Q54PA2"	"DDB_G0284681"	"DDB_G0284681"	"sterol carrier protein"	0.029
"Q54Z24"	"DDB_G0277951"	"DDB_G0277951"	"UPF0424 family protein"	0.029
"Q55BH4"	"DDB_G0271336"	"DDB_G0271336"	""	0.029
"Q55C97"	"DDB_G0270156"	"DDB_G0270156"	"RNA-binding protein 28"	0.029
"Q55CA0"	"DDB_G0269168"	"vps26"	"vacuolar protein sorting-associated protein 26"	0.029
"Q9NKW1"	"DDB_G0291247"	"mfeA"	"Peroxisomal multifunctional enzyme type 2"	0.029
"P14325"	"DDB_G0289481"	"glnS"	"glutamine-tRNA ligase, glutaminyl-tRNA synthetase, vegetative specific protein H4"	0.03
"Q54F47"	"DDB_G0291105"	"cyp513C1"	"cytochrome P450 family protein"	0.03
"Q54Q30"	"DDB_G0284167"	"rnp1A"	"RRM domain-containing protein RNP1A"	0.03
"Q54R18"	"DDB_G0283437"	"ammr1"	"AMMECR1 family protein"	0.03
"Q54T71"	"DDB_G0281969"	"mybE"	"myb domain-containing protein E"	0.03
"Q55AW0"	"DDB_G0271572"	"exosc10"	"exosome component 10"	0.03
"Q55DA3"	"DDB_G0269726"	"pggt1b"	"protein geranylgeranyltransferase type I"	0.03
"Q7KWU6"	"DDB_G0272504"	"DDB_G0272504"	""	0.03
"Q86A92"	"DDB_G0274565"	"erh"	"enhancer of rudimentary family protein"	0.03
"Q86AD5"	"DDB_G0271564"	"pdhX"	"putative pyruvate dehydrogenase complex, component X"	0.03
"Q86AP7"	"DDB_G0277245"	"DDB_G0277245"	"threonine ammonia-lyase, serine/threonine dehydratase, threonine deaminase"	0.03
"P54703"	"DDB_G0280849"	"dicA"	"dynein intermediate chain, cytoplasmic"	0.031
"Q1ZXF5"	"DDB_G0284535"	"cyp508A4"	"cytochrome P450 family protein"	0.031
"Q54MN3"	"DDB_G0285829"	"bxdc5"	"brix domain-containing protein, ribosome production factor"	0.031
"Q54WW1"	"DDB_G0279363"	"DDB_G0279363"	"CBS (cystathionine-beta-synthase) domain-containing protein"	0.031
"Q557K0"	"DDB_G0273433"	"trafK-1"	"TNF receptor-associated factor K"	0.031
"Q75J93"	"DDB_G0277381"	"cpras1"	"type A von Willebrand factor (VWFA) domain-containing protein, Ras GTPase domain-containing protein"	0.031
"Q54DN5"	"DDB_G0291984"	"DDB_G0291984"	"SH3 domain-containing protein, putative glutaminase"	0.032
"Q54FF4"	"DDB_G0290891"	"gacL"	"RhoGAP domain-containing protein"	0.032
"Q54G62"	"DDB_G0290381"	"DDB_G0290381"	""	0.032
"Q54IS9"	"DDB_G0288545"	"nup210"	"nucleoporin 210"	0.032
"Q54Q82"	"DDB_G0284055"	"DDB_G0284055"	"ankyrin repeat-containing protein"	0.032
"Q54QJ8"	"DDB_G0283871"	"DDB_G0283871"	"unknown"	0.032
"Q54VI5"	"DDB_G0280315"	"DDB_G0280315"	""	0.032
"Q54WP6"	"DDB_G0279513"	"DDB_G0279513"	""	0.032
"Q553S0"	"DDB_G0275403"	"DDB_G0275403"	"putative nucleolar complex protein 4"	0.032
"Q556K7"	"DDB_G0272801"	"DDB_G0272801"	""	0.032
"Q557G6"	"DDB_G0273573"	"DDB_G0273573"	"AAA+ ATPase, core domain-containing protein"	0.032
"Q7YXD4"	"DDB_G0287297"	"p80"	"putative copper transporter p80"	0.032
"Q86JI9"	"DDB_G0271514"	"rpc5"	"RNA polymerase III subunit"	0.032
"Q95ZG5"	"DDB_G0273051"	"drnA-1"	"putative RNAse III DrnA"	0.032
"Q9NGW9"	"DDB_G0290723"	"mkcB"	"putative protein serine/threonine kinase, STE20 family protein kinase, protein kinase, STE group, MKC subfamily protein kinase"	0.032
"B0G167"	"DDB_G0294611"	"DDB_G0294611"	"unknown"	0.033
"P02888"	"DDB_G0273067"	"dscD-1"	"discoidin I, delta chain"	0.033
"P54704"	"DDB_G0276939"	"pspB"	"spore coat protein SP85"	0.033
"Q54CA7"	"DDB_G0293086"	"copZb"	"coatomer protein complex zeta subunit"	0.033
"Q54JK5"	"DDB_G0287991"	"DDB_G0287991"	""	0.033
"Q54X65"	"DDB_G0279175"	"hspc300"	"SCAR regulatory complex subunit HSPC300"	0.033
"Q54XI2"	"DDB_G0278741"	"adprt1A"	"Poly [ADP-ribose] polymerase 1A"	0.033
"Q551W4"	"DDB_G0276321"	"DDB_G0276321"	"putative acetyl-CoA synthetase, putative acetoacetyl-CoA synthetase, AMP-dependent synthetase and ligase domain-containing protein"	0.033
"Q55CZ6"	"DDB_G0270664"	"DDB_G0270664"	"UPF0557 family protein"	0.033
"Q55GG3"	"DDB_G0268498"	"areB"	"unknown"	0.033
"Q75JE2"	"DDB_G0271724"	"DDB_G0271724"	"RRP15-like protein"	0.033
"Q86JL1"	"DDB_G0272140"	"DDB_G0272140"	"unknown"	0.033
"Q8SSU4"	"DDB_G0274211"	"DDB_G0274211"	"Ras GTPase activation domain-containing protein"	0.033
"C7FZZ0"	"DDB_G0274805"	"ibrA"	"inverse Bin/Amphiphysin/Rvs protein IBARa"	0.034
"O00780"	"DDB_G0275701"	"vatE"	"vacuolar ATPase subunit E"	0.034
"P11874"	"DDB_G0276441"	"rpl7"	"S60 ribosomal protein L7"	0.034
"P36410"	"DDB_G0281337"	"rab14"	"Rab GTPase 14"	0.034
"Q54CA8"	"DDB_G0293084"	"zizB"	"Ras guanine nucleotide exchange factor ZizB"	0.034
"Q54GG5"	"DDB_G0290179"	"ube3a"	"ubiquitin-protein ligase E3A"	0.034
"Q54JB9"	"DDB_G0288159"	"DDB_G0288159"	""	0.034
"Q54NW4"	"DDB_G0284863"	"limB"	"LIM-type zinc finger-containing protein B"	0.034
"Q54W30"	"DDB_G0279951"	"DDB_G0279951"	"AhpC/TSA family protein"	0.034
"Q54XC4"	"DDB_G0279047"	"DDB_G0279047"	"unknown"	0.034
"Q558Z2"	"DDB_G0272869"	"sun1"	"SUN domain-containing protein 1"	0.034
"Q55DB9"	"DDB_G0270922"	"DDB_G0270922"	""	0.034
"Q55FM5"	"DDB_G0268038"	"mtpn"	"myotrophin family protein"	0.034
"Q75K24"	"DDB_G0275471"	"csn8"	"COP9 signalosome complex subunit 8"	0.034
"Q76P23"	"DDB_G0272346"	"mcfQ"	"mitochondrial substrate carrier family protein Q"	0.034
"Q8I7T3"	"DDB_G0288511"	"sadA"	"substrate adhesion molecule"	0.034
"P32253"	"DDB_G0281385"	"rasC"	"Ras GTPase RasC"	0.035
"Q03479"	"DDB_G0288679"	"myoE"	"myosin IE heavy chain"	0.035
"Q23919"	"DDB_G0288483"	"pgmA"	"phosphoglucomutase A"	0.035
"Q54DV3"	"DDB_G0292016"	"DDB_G0292016"	"von Willebrand factor A domain-containing protein 5A"	0.035
"Q54FW2"	"DDB_G0290659"	"sdrA"	"short-chain dehydrogenase/reductase (SDR) family protein"	0.035
"Q54IU0"	"DDB_G0288521"	"DDB_G0288521"	"aldehyde dehydrogenase, putative NAD-dependent aldehyde dehydrogenase"	0.035
"Q54KR8"	"DDB_G0287199"	"5NT"	"5'-nucleotidase"	0.035
"Q54YV4"	"DDB_G0278063"	"DDB_G0278063"	"peptidase S16, Lon protease family protein"	0.035
"Q54ZC6"	"DDB_G0277669"	"DDB_G0277669"	"aldose 1-epimerase family protein"	0.035
"Q55E90"	"DDB_G0269344"	"DDB_G0269344"	"WD40 repeat-containing protein"	0.035
"Q54N50"	"DDB_G0285503"	"dynB"	"dynactin 50 kDa subunit, dynamitin"	0.036
"Q54NB3"	"DDB_G0285363"	"DDB_G0285363"	""	0.036
"Q54YX3"	"DDB_G0278031"	"DDB_G0278031"	"CRAL/TRIO domain-containing protein"	0.036
"Q54ZW0"	"DDB_G0277273"	"phg1B"	"TM9 protein B"	0.036
"Q556I5"	"DDB_G0274029"	"ptcJ-2"	"pentatricopeptide repeat-containing protein J"	0.036
"Q23887"	"DDB_G0294072"	"mrps7"	"ribosomal protein S7, ribosomal protein S7, mitochondrial"	0.037
"Q54BY8"	"DDB_G0293328"	"DDB_G0293328"	"Cellular nucleic acid-binding protein"	0.037
"Q54JZ3"	"DDB_G0287723"	"DDB_G0287723"	"Phosphoenolpyruvate carboxylase"	0.037
"Q54QK5"	"DDB_G0283793"	"DDB_G0283793"	""	0.037
"Q550D2"	"DDB_G0277303"	"phesB"	"phenylalanine-tRNA ligase, beta subunit, phenylalanyl-tRNA synthetase, beta subunit"	0.037
"Q55E41"	"DDB_G0269400"	"DDB_G0269400"	"cellular retinaldehyde-binding/triple function domain-containing protein"	0.037
"Q86H89"	"DDB_G0275581"	"DDB_G0275581"	""	0.037
"Q8T664"	"DDB_G0267428"	"abcH2"	"putative non-transporter ABC protein"	0.037
"P32255"	"DDB_G0287689"	"tubA"	"alpha-tubulin A"	0.038
"Q54D04"	"DDB_G0292600"	"mdhB"	"malate dehydrogenase"	0.038
"Q54KG1"	"DDB_G0287361"	"ddx41"	"DEAD/DEAH box helicase, DEAD box protein abstrakt"	0.038
"Q54WJ9"	"DDB_G0279613"	"DDB_G0279613"	"aldehyde dehydrogenase"	0.038
"Q559E7"	"DDB_G0272955"	"DDB_G0272955"	"putative phytanoyl-CoA dioxygenase"	0.038
"Q55D66"	"DDB_G0269772"	"psmB3"	"proteasome subunit beta type 3, 20S proteasome subunit beta-3"	0.038
"Q55D72"	"DDB_G0269762"	"DDB_G0269762"	""	0.038
"Q869X1"	"DDB_G0275075"	"DDB_G0275075"	"tetratricopeptide-like helical domain-containing protein (TPR)"	0.038
"C7G023"	"DDB_G0295715"	"DDB_G0295715"	"NOL1/NOP2/Sun family protein"	0.039
"Q54GR0"	"DDB_G0289987"	"puf118"	"Pumilio-related mRNA-binding protein PUF118"	0.039
"Q55BT0"	"DDB_G0270378"	"DDB_G0270378"	"TPR repeat-containing protein, TTC39 family protein, tetratricopeptide repeat protein 39"	0.039
"O96552"	"DDB_G0267394"	"vps46"	"SNF7 family protein"	0.04
"P54642"	"DDB_G0274381"	"vatP"	"vacuolar ATPase proteolipid subunit"	0.04
"Q54EW3"	"DDB_G0291650"	"DDB_G0291650"	"importin subunit beta-3"	0.04
"Q54FG5"	"DDB_G0290873"	"gacJJ"	"pleckstrin homology (PH) domain-containing protein, SH3 domain-containing protein, RhoGAP domain-containing protein"	0.04
"Q54QA4"	"DDB_G0283973"	"DDB_G0283973"	""	0.04
"Q54RL3"	"DDB_G0283087"	"DDB_G0283087"	"putative cholinesterase, carboxylesterase, type B family protein"	0.04
"Q54WU2"	"DDB_G0279435"	"DDB_G0279435"	""	0.04
"Q550R2"	"DDB_G0276893"	"ctxB"	"actin bundling protein cortexillin II"	0.04
"Q76NW2"	"DDB_G0276863"	"H4b"	"histone H4"	0.04
"B0G191"	"DDB_G0291800"	"DDB_G0291800"	"glutathione-dependent formaldehyde-activating, GFA family protein"	0.041
"P51173"	"DDB_G0277701"	"apeA"	"DNA-(apurinic or apyrimidinic site) lyase"	0.041
"Q54QS3"	"DDB_G0283661"	"ddx3"	"putative RNA helicase, DEAD/DEAH box helicase"	0.041
"Q54TS4"	"DDB_G0281587"	"yipf1"	"Yip1 domain-containing protein"	0.041
"Q54TV8"	"DDB_G0281533"	"DDB_G0281533_RTE"	"Skipper GAG-PRO"	0.041
"Q54YY1"	"DDB_G0278015"	"DDB_G0278015"	"UPF0682 family protein"	0.041
"Q54Z61"	"DDB_G0277813"	"DDB_G0277813"	"SAC3/GANP family protein"	0.041
"Q557Y8"	"DDB_G0273185"	"DDB_G0273185"	""	0.041
"Q55BE9"	"DDB_G0271374"	"DDB_G0271374"	"Glycerophosphodiester phosphodiesterase domain-containing protein 1"	0.041
"Q55BV1"	"DDB_G0270352"	"DDB_G0270352"	"Protein aidB"	0.041
"Q55DZ3"	"DDB_G0269460"	"DDB_G0269460"	"Protein ELYS"	0.041
"Q86B07"	"DDB_G0272785"	"DDB_G0272785"	"acyloxyacyl hydrolase"	0.041
"O96623"	"DDB_G0282813"	"arcB"	"actin-related protein 2/3 complex, subunit 2"	0.042
"Q54CL3"	"DDB_G0292870"	"pex13"	"SH3 domain-containing protein, transmembrane protein, peroxin 13, peroxisomal biogenesis factor 13"	0.042
"Q54ED4"	"DDB_G0291566"	"grwd1"	"glutamate-rich WD repeat-containing protein 1"	0.042
"Q54FE8"	"DDB_G0290909"	"rpa49"	"putative RNA polymerase I subunit"	0.042
"Q54LZ3"	"DDB_G0286293"	"dnajc13"	"DnaJ (Hsp40) homolog, subfamily C, member 13"	0.042
"Q54RN9"	"DDB_G0283007"	"DDB_G0283007"	"unknown"	0.042
"Q54SQ5"	"DDB_G0282303"	"DDB_G0282303"	"ankyrin repeat-containing protein, RabGAP/TBC domain-containing protein, putative GTPase activating protein (GAP)"	0.042
"Q54WF5"	"DDB_G0279683"	"DDB_G0279683"	"putative transmembrane protein"	0.042
"Q556G4"	"DDB_G0274079"	"dohh-2"	"PBS lyase HEAT-like repeat-containing protein, deoxyhypusine monooxygenase, deoxyhypusine hydroxylase, deoxyhypusine dioxygenase"	0.042
"Q869U4"	"DDB_G0276443"	"usp7"	"meprin and TRAF homology (MATH) domain-containing protein, peptidase C19 family protein, putative ubiquitin carboxyl-terminal hydrolase (UCH)"	0.042
"Q54BL8"	"DDB_G0293566"	"lyEh3"	"Entamoeba-type lysozyme protein 3"	0.043
"Q54CJ3"	"DDB_G0292898"	"pgl"	"6-phosphogluconolactonase"	0.043
"Q54CY9"	"DDB_G0292624"	"DDB_G0292624"	"putative myosin light chain kinase DDB_G0292624"	0.043
"Q54EN7"	"DDB_G0291428"	"DDB_G0291428"	"paramecium surface antigen repeat-containing protein"	0.043
"Q54F42"	"DDB_G0291129"	"ndufa6"	"NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 6"	0.043
"Q54FT8"	"DDB_G0290597"	"DDB_G0290597"	"RabGAP/TBC domain-containing protein, putative GTPase activating protein (GAP), B-box zinc finger-containing protein"	0.043
"Q54IM8"	"DDB_G0288647"	"acad8"	"acyl-CoA dehydrogenase, acyl-Coenzyme A dehydrogenase family member 8"	0.043
"Q54IS5"	"DDB_G0288551"	"DDB_G0288551"	"PUF domain-containing protein, pumilio RNA-binding region-containing protein"	0.043
"Q54SN3"	"DDB_G0282341"	"DDB_G0282341"	"enoyl-CoA hydratase/isomerase family protein"	0.043
"Q551H6"	"DDB_G0276515"	"DDB_G0276515"	""	0.043
"Q553N9"	"DDB_G0275389"	"tom70"	"translocase of outer mitochondrial membrane 70"	0.043
"Q557J3"	"DDB_G0273523"	"rpc25-2"	"RNA polymerase III subunit"	0.043
"Q55BI2"	"DDB_G0271344"	"idhA"	"isocitrate dehydrogenase (NAD+), isocitrate dehydrogenase (NAD+) alpha subunit"	0.043
"Q75JH8"	"DDB_G0276105"	"gtr2"	"alpha amylase domain-containing protein, starch synthase-like protein"	0.043
"Q8IS12"	"DDB_G0275703"	"gefN"	"Ras guanine nucleotide exchange factor"	0.043
"P54659"	"DDB_G0291127"	"mvpB"	"major vault protein B"	0.044
"Q54IT3"	"DDB_G0288541"	"maoA"	"amine oxidase (flavin-containing), monoamine oxidase"	0.044
"Q54RN1"	"DDB_G0283021"	"sodB"	"superoxide dismutase"	0.044
"Q54ZD1"	"DDB_G0277629"	"rpl7a"	"60S ribosomal protein L7a"	0.044
"B0G197"	"DDB_G0294627"	"DDB_G0294627"	"MaoC-like dehydratase domain-containing protein"	0.045
"P16643"	"DDB_G0272562"	"csbB"	"contact site B protein B"	0.045
"Q1ZXP5"	"DDB_G0271058"	"vilC"	"villin-like protein C"	0.045
"Q869L6"	"DDB_G0275559"	"DDB_G0275559"	"short-chain dehydrogenase/reductase (SDR) family protein, glucose/ribitol dehydrogenase family protein"	0.045
"Q54CC0"	"DDB_G0293062"	"DDB_G0293062"	"acyltransferase domain-containing protein"	0.046
"Q54DW4"	"DDB_G0291978"	"xacA"	"RacGAP and RhoGEF protein"	0.046
"Q54GN9"	"DDB_G0290029"	"DDB_G0290029"	"C2H2-type zinc finger-containing protein"	0.046
"Q54U94"	"DDB_G0281327"	"rexo4"	"RNA exonuclease 4"	0.046
"Q55FS2"	"DDB_G0267978"	"krsB"	"STE20 family protein kinase KrsB"	0.046
"Q54DM7"	"DDB_G0292122"	"psmA2"	"proteasome subunit alpha type 2, 20S proteasome subunit alpha-2"	0.047
"Q54EU7"	"DDB_G0291326"	"DDB_G0291326"	""	0.047
"Q54MB5"	"DDB_G0286057"	"adk"	"adenosine kinase, ATP:adenosine 5'-phosphotransferase"	0.047
"Q54P07"	"DDB_G0285051"	"rab32D"	"Rab GTPase"	0.047
"Q54W97"	"DDB_G0279809"	"DDB_G0279809"	""	0.047
